trial_id,left_image_id,right_image_id,present_side,left_label,right_label,reader_choice,correct,reaction_time_sec
0,0,1,right,0,1,right,1,10.910201300051995
1,2,3,right,0,1,right,1,1.9655338999582455
2,4,5,right,0,1,right,1,0.9279920000117272
3,7,6,left,1,0,left,1,1.0843176000053063
4,8,9,right,0,1,right,1,0.757759700063616
5,10,11,right,0,1,right,1,1.3863889999920502
6,12,13,right,0,1,right,1,0.8810793000739068
7,15,14,left,1,0,left,1,1.0679736000020057
8,16,17,right,0,1,right,1,0.9702508000191301
9,18,19,right,0,1,right,1,1.1970875000115484
10,21,20,left,1,0,left,1,0.9785884999437258
11,23,22,left,1,0,left,1,1.0267719000112265
12,25,24,left,1,0,left,1,0.9564336999319494
13,26,27,right,0,1,right,1,1.4025777999777347
14,28,29,right,0,1,right,1,0.8972951000323519
15,30,31,right,0,1,right,1,1.17903280002065
16,32,33,right,0,1,right,1,0.9690858999965712
17,34,35,right,0,1,right,1,1.2849897000705823
18,37,36,left,1,0,left,1,0.8530253999633715
19,38,39,right,0,1,left,0,1.0266943000024185
